name,ring,quadrant,isNew,description
Cloud Firestore,LOW,DATABASE,FALSE,<p>Cloud Firestore</p>
Bash/Shell,HIGH,LANGUAGE,FALSE,<p>Bash/Shell</p>
Objective-C,LOW,LANGUAGE,FALSE,<p>Objective-C</p>
OCaml,LOW,LANGUAGE,FALSE,<p>OCaml</p>
Microsoft SQL Server,MID,DATABASE,FALSE,<p>Microsoft SQL Server</p>
MATLAB,LOW,LANGUAGE,FALSE,<p>MATLAB</p>
Qt,LOW,OTHER FRAMEWORKS,FALSE,<p>Qt</p>
GTK,UNUSED,OTHER FRAMEWORKS,FALSE,<p>GTK</p>
Apache Kafka,HIGH,OTHER FRAMEWORKS,FALSE,<p>Apache Kafka</p>
.NET,MID,OTHER FRAMEWORKS,FALSE,<p>.NET</p>
Play,LOW,WEB FRAMEWORKS,FALSE,<p>Play</p>
Spring,HIGH,OTHER FRAMEWORKS,FALSE,<p>Spring</p>
Feathers.js,LOW,WEB FRAMEWORKS,FALSE,<p>Feathers.js</p>
Capacitor,LOW,OTHER FRAMEWORKS,FALSE,<p>Capacitor</p>
PostgreSQL,HIGH,DATABASE,FALSE,<p>PostgreSQL</p>
LUA,LOW,LANGUAGE,FALSE,<p>LUA</p>
Haskell,LOW,LANGUAGE,FALSE,<p>Haskell</p>
Hugging Face Transformers,UNUSED,OTHER FRAMEWORKS,FALSE,<p>Hugging Face Transformers</p>
Django,LOW,WEB FRAMEWORKS,FALSE,<p>Django</p>
SQL,HIGH,LANGUAGE,FALSE,<p>SQL</p>
Poweshell,LOW,LANGUAGE,FALSE,<p>Poweshell</p>
HTML/CSS,HIGH,LANGUAGE,FALSE,<p>HTML/CSS</p>
MongoDB,HIGH,DATABASE,FALSE,<p>MongoDB</p>
Next.js,LOW,WEB FRAMEWORKS,FALSE,<p>Next.js</p>
Scikit-learn,UNUSED,OTHER FRAMEWORKS,FALSE,<p>Scikit-learn</p>
Angular,HIGH,WEB FRAMEWORKS,FALSE,<p>Angular</p>
C#,MID,LANGUAGE,FALSE,<p>C#</p>
Perl,LOW,LANGUAGE,FALSE,<p>Perl</p>
COBOL,UNUSED,LANGUAGE,FALSE,<p>COBOL</p>
IBM DB2,LOW,DATABASE,FALSE,<p>IBM DB2</p>
MySQL,HIGH,DATABASE,FALSE,<p>MySQL</p>
Express,MID,WEB FRAMEWORKS,FALSE,<p>Express</p>
Flutter,LOW,OTHER FRAMEWORKS,FALSE,<p>Flutter</p>
Dojo,LOW,WEB FRAMEWORKS,FALSE,<p>Dojo</p>
Elixir,LOW,LANGUAGE,FALSE,<p>Elixir</p>
PHP2,MID,LANGUAGE,FALSE,<p>PHP2</p>
Node.js,HIGH,WEB FRAMEWORKS,FALSE,<p>Node.js</p>
Keras,LOW,OTHER FRAMEWORKS,FALSE,<p>Keras</p>
JQuery,MID,WEB FRAMEWORKS,FALSE,<p>JQuery</p>
Pandas,LOW,OTHER FRAMEWORKS,FALSE,<p>Pandas</p>
Flask,LOW,WEB FRAMEWORKS,FALSE,<p>Flask</p>
React Native,MID,OTHER FRAMEWORKS,FALSE,<p>React Native</p>
C++,MID,LANGUAGE,FALSE,<p>C++</p>
R,LOW,LANGUAGE,FALSE,<p>R</p>
Hadoop,MID,OTHER FRAMEWORKS,FALSE,<p>Hadoop</p>
Fastify,LOW,WEB FRAMEWORKS,FALSE,<p>Fastify</p>
Crystal,UNUSED,LANGUAGE,FALSE,<p>Crystal</p>
SAS,LOW,LANGUAGE,FALSE,<p>SAS</p>
Redis,MID,DATABASE,FALSE,<p>Redis</p>
Gatsby,LOW,WEB FRAMEWORKS,FALSE,<p>Gatsby</p>
Kotlin,MID,LANGUAGE,FALSE,<p>Kotlin</p>
Elasticsearch,HIGH,DATABASE,FALSE,<p>Elasticsearch</p>
Nuxt.js,LOW,WEB FRAMEWORKS,FALSE,<p>Nuxt.js</p>
Cordova,LOW,OTHER FRAMEWORKS,FALSE,<p>Cordova</p>
Scala,LOW,LANGUAGE,FALSE,<p>Scala</p>
PHP,UNUSED,LANGUAGE,FALSE,<p>PHP</p>
Erlang,LOW,LANGUAGE,FALSE,<p>Erlang</p>
Python,HIGH,LANGUAGE,FALSE,<p>Python</p>
Java,HIGH,LANGUAGE,FALSE,<p>Java</p>
Cassandra,HIGH,DATABASE,FALSE,<p>Cassandra</p>
Electron,LOW,OTHER FRAMEWORKS,FALSE,<p>Electron</p>
C,MID,LANGUAGE,FALSE,<p>C</p>
